Temperature,Pressure,Humidity,Should_Run
53.563954874049585,9.575604230136339,58.716935456175804,1
58.305995505896384,10.299622223980391,28.2396662230805,1
76.12773742298873,13.484973040691067,28.40445622705458,0
81.30403381287678,11.060674574208859,37.26509702459903,0
93.83280919822326,6.187016746451145,52.8637917388439,1
50.9544418312939,6.614110553831369,75.44372158673508,0
73.1918568967351,14.132612981497314,60.12913532214662,1
60.764695620631294,5.220413247822301,77.90128328671625,0
59.46279702937736,11.922952461818332,77.35997103997605,0
94.14237451922637,14.543526636826357,50.85659298273935,1
82.46234310273715,7.786458060374408,55.96297691384719,1
78.32694039416481,8.982503319577395,62.7846891061279,1
94.91764826806745,8.620475081141182,29.466458677980576,0
68.97749940613127,14.732646941861896,56.005234024044,1
90.76563283800397,14.309153274234808,23.825789957638868,0
92.34088174435612,13.48494723284061,59.5121373489158,1
80.61713421570161,14.907992288102923,76.57686989464585,1
61.847242835095386,9.478385245972927,28.926224643074818,1
65.51387748321044,8.6369354414505,70.27866042178512,1
65.4378031038295,7.935927982305431,45.2772665136208,1
